Date,Time,Precipitation_AddisAbeba (mm),Relative Humidity_AddisAbeba (% RH),Temperature_AddisAbeba (?C)
12/30/2011,5:00:00 AM,0,79.1,5.5
12/30/2011,5:15:00 AM,0,76.5,5.9
12/30/2011,5:30:00 AM,0,77.1,5.8
12/30/2011,5:45:00 AM,0,77.5,5.4
12/30/2011,6:00:00 AM,0,76.8,5.1
12/30/2011,6:15:00 AM,0,77.4,4.8
12/30/2011,6:30:00 AM,0,81.3,4.2
12/30/2011,6:45:00 AM,0,82.3,3.9
12/30/2011,7:00:00 AM,0,84,3.5
12/30/2011,7:15:00 AM,0,79,4.6
12/30/2011,7:30:00 AM,0,69.5,7
12/30/2011,7:45:00 AM,0,60.4,9.3
12/30/2011,8:00:00 AM,0,57.4,10.6
12/30/2011,8:15:00 AM,0,55.7,11.5
12/30/2011,8:30:00 AM,0,53.5,12.4
12/30/2011,8:45:00 AM,0,52.5,12.3
12/30/2011,9:00:00 AM,0,50.2,12.9
12/30/2011,9:15:00 AM,0,47.4,13.5
12/30/2011,9:30:00 AM,0,45.3,13.8
12/30/2011,9:45:00 AM,0,45.1,14.4
12/30/2011,10:00:00 AM,0,38.7,15.6
12/30/2011,10:15:00 AM,0,34.7,16.1
12/30/2011,10:30:00 AM,0,33.6,16.3
12/30/2011,10:45:00 AM,0,32.1,16.7
12/30/2011,11:00:00 AM,0,30,17.2
12/30/2011,11:15:00 AM,0,30.5,17.2
12/30/2011,11:30:00 AM,0,29.4,17.3
12/30/2011,11:45:00 AM,0,27,18.1
12/30/2011,12:00:00 PM,0,26.2,18.4
12/30/2011,12:15:00 PM,0,25.3,18.6
12/30/2011,12:30:00 PM,0,25.1,19
12/30/2011,12:45:00 PM,0,24.1,19
12/30/2011,1:00:00 PM,0,23.9,19.4
12/30/2011,1:15:00 PM,0,22.9,19.7
12/30/2011,1:30:00 PM,0,21.8,19.6
12/30/2011,1:45:00 PM,0,21.5,19.9
12/30/2011,2:00:00 PM,0,20.1,20
12/30/2011,2:15:00 PM,0,20.4,20
12/30/2011,2:30:00 PM,0,21.2,19.7
12/30/2011,2:45:00 PM,0,21.5,19.8
12/30/2011,3:00:00 PM,0,22.2,20.2
12/30/2011,3:15:00 PM,0,21.7,20
12/30/2011,3:30:00 PM,0,21.3,20
12/30/2011,3:45:00 PM,0,20.6,19.9
12/30/2011,4:00:00 PM,0,21.5,19.5
12/30/2011,4:15:00 PM,0,21.4,19.4
12/30/2011,4:30:00 PM,0,21.7,19.5
12/30/2011,4:45:00 PM,0,21.5,19.1
12/30/2011,5:00:00 PM,0,21.6,18.8
12/30/2011,5:15:00 PM,0,22.6,18.3
12/30/2011,5:30:00 PM,0,23.4,17.6
12/30/2011,5:45:00 PM,0,24.1,17.1
12/30/2011,6:00:00 PM,0,25.2,16.5
12/30/2011,6:15:00 PM,0,26.3,15.9
12/30/2011,6:30:00 PM,0,27.6,15.3
12/30/2011,6:45:00 PM,0,28.5,14.9
12/30/2011,7:00:00 PM,0,29.2,14.5
12/30/2011,7:15:00 PM,0,30.4,14.2
12/30/2011,7:30:00 PM,0,32.4,13.5
12/30/2011,7:45:00 PM,0,32.1,13.5
12/30/2011,8:00:00 PM,0,33.3,13.1
12/30/2011,8:15:00 PM,0,34.4,12.7
12/30/2011,8:30:00 PM,0,35.1,12.2
12/30/2011,8:45:00 PM,0,34.9,12.2
12/30/2011,9:00:00 PM,0,36.4,11.8
