Date,Time,Precipitation_Jinka (mm),Relative Humidity_Jinka (% RH),Temperature_Jinka (?C)
2/27/2014,8:45:00 PM,0,34.9,18.9
2/27/2014,9:00:00 PM,0,36.7,18.7
2/27/2014,9:15:00 PM,0,38.5,18.6
2/27/2014,9:30:00 PM,0,40.2,18.5
2/27/2014,9:45:00 PM,0,41,18.5
2/27/2014,10:00:00 PM,0,41.8,18.3
2/27/2014,10:15:00 PM,0,42.4,18.1
2/27/2014,10:30:00 PM,0,43.1,17.8
2/27/2014,10:45:00 PM,0,43.6,17.6
2/27/2014,11:00:00 PM,0,44.8,17.5
2/27/2014,11:15:00 PM,0,45.8,17.5
2/27/2014,11:30:00 PM,0,46.7,17.4
2/27/2014,11:45:00 PM,0,47.5,17.4
2/28/2014,12:00:00 AM,0,48,17.4
2/28/2014,12:15:00 AM,0,48.4,17.3
2/28/2014,12:30:00 AM,0,47.8,17.2
2/28/2014,12:45:00 AM,0,47.5,17.1
2/28/2014,1:00:00 AM,0,47.5,17
2/28/2014,1:15:00 AM,0,47.6,16.9
2/28/2014,1:30:00 AM,0,48.6,16.7
2/28/2014,1:45:00 AM,0,48.8,16.7
2/28/2014,2:00:00 AM,0,49.8,16.5
2/28/2014,2:15:00 AM,0,53.2,15.8
2/28/2014,2:30:00 AM,0,55.6,15.1
2/28/2014,2:45:00 AM,0,57.1,14.8
2/28/2014,3:00:00 AM,0,58,14.6
2/28/2014,3:15:00 AM,0,58.3,14.5
2/28/2014,3:30:00 AM,0,59.7,14.2
10/2/2015,1:42:49 PM,*,*,*
1/11/2016,2:01:52 PM,*,*,*
1/12/2016,12:11:03 PM,*,*,*
5/8/2018,5:34:33 PM,*,*,*
5/8/2018,5:37:30 PM,0,0.1,*
5/8/2018,5:37:35 PM,*,*,*
5/8/2018,5:38:36 PM,0,0.1,*
5/8/2018,5:38:41 PM,*,*,*
5/8/2018,5:41:51 PM,0,0.1,*
5/8/2018,5:59:35 PM,*,*,*
5/8/2018,6:00:00 PM,0,0.1,*
5/8/2018,6:15:00 PM,0,0.1,*
5/8/2018,6:30:00 PM,0,0.1,*
5/8/2018,6:45:00 PM,0,0.1,*
5/8/2018,7:00:00 PM,0,0.1,*
5/8/2018,7:15:00 PM,0,0.1,*
5/8/2018,7:30:00 PM,0,0.1,*
5/8/2018,7:45:00 PM,0,0.1,*
5/8/2018,8:00:00 PM,0,0.1,*
5/8/2018,8:15:00 PM,0.4,0.1,*
5/8/2018,8:30:00 PM,0.6,0.1,*
5/8/2018,8:45:00 PM,0,0.1,*
5/8/2018,9:00:00 PM,0,0.1,*
5/8/2018,9:15:00 PM,0.2,0.1,*
5/8/2018,9:30:00 PM,0.2,0.1,*
5/8/2018,9:45:00 PM,0,0.1,*
5/8/2018,10:00:00 PM,0.2,0.1,*
5/8/2018,10:15:00 PM,0.2,0.1,*
5/8/2018,10:30:00 PM,0,0.1,*
5/8/2018,10:45:00 PM,0.2,0.1,*
5/8/2018,11:00:00 PM,0,0.1,*
5/8/2018,11:15:00 PM,0,0.1,*
5/8/2018,11:30:00 PM,0,0.1,*
5/8/2018,11:45:00 PM,0,0.1,*
5/9/2018,12:00:00 AM,0,0.1,*
5/9/2018,12:15:00 AM,0,0.1,*
5/9/2018,12:30:00 AM,0,0.1,*
5/9/2018,12:45:00 AM,0,0.1,*
5/9/2018,1:00:00 AM,0,0.1,*
5/9/2018,1:15:00 AM,0,0.1,*
5/9/2018,1:30:00 AM,0,0.1,*
5/9/2018,1:45:00 AM,0,0.1,*
5/9/2018,2:00:00 AM,0,0.1,*
5/9/2018,2:15:00 AM,0,0.1,*
5/9/2018,2:30:00 AM,0,0.1,*
5/9/2018,2:45:00 AM,0,0.1,*
5/9/2018,3:00:00 AM,0,0.1,*
5/9/2018,3:15:00 AM,0,0.1,*
5/9/2018,3:30:00 AM,0,0.1,*
5/9/2018,3:45:00 AM,0,0.1,*
5/9/2018,4:00:00 AM,0,0.1,*
5/9/2018,4:15:00 AM,0,0.1,*
5/9/2018,4:30:00 AM,0,0.1,*
5/9/2018,4:45:00 AM,0,0.1,*
5/9/2018,5:00:00 AM,0,0.1,*
5/9/2018,5:15:00 AM,0.2,0.1,*
5/9/2018,5:30:00 AM,0,0.1,*
5/9/2018,5:45:00 AM,0,0.1,*
5/9/2018,6:00:00 AM,0,0.1,*
5/9/2018,6:15:00 AM,0,0.1,*
5/9/2018,6:30:00 AM,0,0.1,*
5/9/2018,6:45:00 AM,0,0.1,*
5/9/2018,7:00:00 AM,0,0.1,*
5/9/2018,7:15:00 AM,0,0.1,*
5/9/2018,7:30:00 AM,0,0.1,*
5/9/2018,7:45:00 AM,0,0.1,*
5/9/2018,8:00:00 AM,0,0.1,*
5/9/2018,8:15:00 AM,0,0.1,*
5/9/2018,8:30:00 AM,0,0.1,*
5/9/2018,8:45:00 AM,0,0.1,*
5/9/2018,9:00:00 AM,0,0.1,*
5/9/2018,9:15:00 AM,0,0.1,*
5/9/2018,9:30:00 AM,0,0.1,*
5/9/2018,9:45:00 AM,0,0.1,*
5/9/2018,10:00:00 AM,0,0.1,*
5/9/2018,10:15:00 AM,0,0.1,*
5/9/2018,10:30:00 AM,0,0.1,*
5/9/2018,10:45:00 AM,0,0.1,*
5/9/2018,11:00:00 AM,0,0.1,*
5/9/2018,11:15:00 AM,0,0.1,*
5/9/2018,11:30:00 AM,0,0.1,*
5/9/2018,11:45:00 AM,0,0.1,*
5/9/2018,12:00:00 PM,0,0.1,*
5/9/2018,12:15:00 PM,0,0.1,*
5/9/2018,12:30:00 PM,0,0.1,*
5/9/2018,12:45:00 PM,0,0.1,*
5/9/2018,1:00:00 PM,0,0.1,*
5/9/2018,1:15:00 PM,0,0.1,*
5/9/2018,1:30:00 PM,0,0.1,*
5/9/2018,1:45:00 PM,0,0.1,*
5/9/2018,2:00:00 PM,0,0.1,*
5/9/2018,2:15:00 PM,0,0.1,*
5/9/2018,2:30:00 PM,0,0.1,*
5/9/2018,2:45:00 PM,0,0.1,*
5/9/2018,3:00:00 PM,0,0.1,*
5/9/2018,3:15:00 PM,0,0.1,*
5/9/2018,3:30:00 PM,0,0.1,*
5/9/2018,3:45:00 PM,0,0.1,*
5/9/2018,4:00:00 PM,0,0.1,*
5/9/2018,4:15:00 PM,0,0.1,*
5/9/2018,4:30:00 PM,0,0.1,*
5/9/2018,4:45:00 PM,0,0.1,*
5/9/2018,5:00:00 PM,0,0.1,*
5/9/2018,5:15:00 PM,0,0.1,*
5/9/2018,5:30:00 PM,0,0.1,*
5/9/2018,5:45:00 PM,0,0.1,*
5/9/2018,6:00:00 PM,0,0.1,*
5/9/2018,6:15:00 PM,0,0.1,*
5/9/2018,6:30:00 PM,0,0.1,*
5/9/2018,6:45:00 PM,0,0.1,*
5/9/2018,7:00:00 PM,0,0.1,*
5/9/2018,7:15:00 PM,0,0.1,*
5/9/2018,7:30:00 PM,0,0.1,*
5/9/2018,7:45:00 PM,0,0.1,*
5/9/2018,8:00:00 PM,0,0.1,*
5/9/2018,8:15:00 PM,0,0.1,*
5/9/2018,8:30:00 PM,0,0.1,*
5/9/2018,8:45:00 PM,0,0.1,*
5/9/2018,9:00:00 PM,0,0.1,*
5/9/2018,9:15:00 PM,0,0.1,*
5/9/2018,9:30:00 PM,0,0.1,*
5/9/2018,9:45:00 PM,0,0.1,*
5/9/2018,10:00:00 PM,0,0.1,*
5/9/2018,10:15:00 PM,0,0.1,*
5/9/2018,10:30:00 PM,0,0.1,*
5/9/2018,10:45:00 PM,0,0.1,*
5/9/2018,11:00:00 PM,0,0.1,*
5/9/2018,11:15:00 PM,0,0.1,*
5/9/2018,11:30:00 PM,0,0.1,*
5/9/2018,11:45:00 PM,0,0.1,*
5/10/2018,12:00:00 AM,0,0.1,*
5/10/2018,12:15:00 AM,0,0.1,*
5/10/2018,12:30:00 AM,0,0.1,*
5/10/2018,12:45:00 AM,0,0.1,*
5/10/2018,1:00:00 AM,0,0.1,*
5/10/2018,1:15:00 AM,0,0.1,*
5/10/2018,1:30:00 AM,0,0.1,*
5/10/2018,1:45:00 AM,0,0.1,*
5/10/2018,2:00:00 AM,0,0.1,*
5/10/2018,2:15:00 AM,0,0.1,*
5/10/2018,2:30:00 AM,0,0.1,*
5/10/2018,2:45:00 AM,0,0.1,*
5/10/2018,3:00:00 AM,0,0.1,*
5/10/2018,3:15:00 AM,0,0.1,*
5/10/2018,3:30:00 AM,0,0.1,*
5/10/2018,3:45:00 AM,0,0.1,*
5/10/2018,4:00:00 AM,0,0.1,*
5/10/2018,4:15:00 AM,0,0.1,*
5/10/2018,4:30:00 AM,0,0.1,*
5/10/2018,4:45:00 AM,0,0.1,*
5/10/2018,5:00:00 AM,0,0.1,*
5/10/2018,5:15:00 AM,0,0.1,*
5/10/2018,5:30:00 AM,0,0.1,*
5/10/2018,5:45:00 AM,0,0.1,*
5/10/2018,6:00:00 AM,0,0.1,*
5/10/2018,6:15:00 AM,0,0.1,*
5/10/2018,6:30:00 AM,0,0.1,*
5/10/2018,6:45:00 AM,0,0.1,*
5/10/2018,7:00:00 AM,0,0.1,*
5/10/2018,7:15:00 AM,0,0.1,*
5/10/2018,7:30:00 AM,0,0.1,*
5/10/2018,7:45:00 AM,0,0.1,*
5/10/2018,8:00:00 AM,0,0.1,*
5/10/2018,8:15:00 AM,0,0.1,*
5/10/2018,8:30:00 AM,0,0.1,*
5/10/2018,8:45:00 AM,0,0.1,*
5/10/2018,9:00:00 AM,0,0.1,*
5/10/2018,9:15:00 AM,0,0.1,*
5/10/2018,9:30:00 AM,0,0.1,*
5/10/2018,9:45:00 AM,0,0.1,*
5/10/2018,10:00:00 AM,0,0.1,*
5/10/2018,10:15:00 AM,0,0.1,*
5/10/2018,10:30:00 AM,0,0.1,*
5/10/2018,10:45:00 AM,0,0.1,*
5/10/2018,11:00:00 AM,0,0.1,*
5/10/2018,11:15:00 AM,0,0.1,*
5/10/2018,11:30:00 AM,0,0.1,*
5/10/2018,11:45:00 AM,0,0.1,*
5/10/2018,12:00:00 PM,0,0.1,*
5/10/2018,12:15:00 PM,0,0.1,*
5/10/2018,12:30:00 PM,0,0.1,*
5/10/2018,12:45:00 PM,0,0.1,*
5/10/2018,1:00:00 PM,0,0.1,*
5/10/2018,1:15:00 PM,0,0.1,*
5/10/2018,1:30:00 PM,0,0.1,*
5/10/2018,1:45:00 PM,0,0.1,*
5/10/2018,2:00:00 PM,0,0.1,*
5/10/2018,2:15:00 PM,0,0.1,*
5/10/2018,2:30:00 PM,0,0.1,*
5/10/2018,2:45:00 PM,0,0.1,*
5/10/2018,3:00:00 PM,0,0.1,*
5/10/2018,3:15:00 PM,0,0.1,*
5/10/2018,3:30:00 PM,0,0.1,*
5/10/2018,3:45:00 PM,0,0.1,*
5/10/2018,4:00:00 PM,0,0.1,*
5/10/2018,4:15:00 PM,0,0.1,*
5/10/2018,4:30:00 PM,0,0.1,*
5/10/2018,4:45:00 PM,0,0.1,*
5/10/2018,5:00:00 PM,0,0.1,*
5/10/2018,5:15:00 PM,0,0.1,*
5/10/2018,5:30:00 PM,0,0.1,*
5/10/2018,5:45:00 PM,0,0.1,*
5/10/2018,6:00:00 PM,0,0.1,*
5/10/2018,6:15:00 PM,0,0.1,*
5/10/2018,6:30:00 PM,0,0.1,*
5/10/2018,6:45:00 PM,0,0.1,*
5/10/2018,7:00:00 PM,0,0.1,*
5/10/2018,7:15:00 PM,6.4,0.1,*
5/10/2018,7:30:00 PM,2.4,0.1,*
5/10/2018,7:45:00 PM,0,0.1,*
5/10/2018,8:00:00 PM,0,0.1,*
5/10/2018,8:15:00 PM,0,0.1,*
5/10/2018,8:30:00 PM,0,0.1,*
5/10/2018,8:45:00 PM,0,0.1,*
5/10/2018,9:00:00 PM,0,0.1,*
5/10/2018,9:15:00 PM,0,0.1,*
5/10/2018,9:30:00 PM,0,0.1,*
5/10/2018,9:45:00 PM,0,0.1,*
5/10/2018,10:00:00 PM,0,0.1,*
5/10/2018,10:15:00 PM,0,0.1,*
5/10/2018,10:30:00 PM,0,0.1,*
5/10/2018,10:45:00 PM,0,0.1,*
5/10/2018,11:00:00 PM,0,0.1,*
5/10/2018,11:15:00 PM,0,0.1,*
5/10/2018,11:30:00 PM,0,0.1,*
5/10/2018,11:45:00 PM,0,0.1,*
5/11/2018,12:00:00 AM,0,0.1,*
5/11/2018,12:15:00 AM,0,0.1,*
5/11/2018,12:30:00 AM,0,0.1,*
5/11/2018,12:45:00 AM,0,0.1,*
5/11/2018,1:00:00 AM,0,0.1,*
5/11/2018,1:15:00 AM,0,0.1,*
5/11/2018,1:30:00 AM,0,0.1,*
5/11/2018,1:45:00 AM,0,0.1,*
5/11/2018,2:00:00 AM,0,0.1,*
5/11/2018,2:15:00 AM,0,0.1,*
5/11/2018,2:30:00 AM,0,0.1,*
5/11/2018,2:45:00 AM,0,0.1,*
5/11/2018,3:00:00 AM,0,0.1,*
5/11/2018,3:15:00 AM,0,0.1,*
5/11/2018,3:30:00 AM,0,0.1,*
5/11/2018,3:45:00 AM,0,0.1,*
5/11/2018,4:00:00 AM,0,0.1,*
5/11/2018,4:15:00 AM,0,0.1,*
5/11/2018,4:30:00 AM,0,0.1,*
5/11/2018,4:45:00 AM,0,0.1,*
5/11/2018,5:00:00 AM,0,0.1,*
5/11/2018,5:15:00 AM,0,0.1,*
5/11/2018,5:30:00 AM,0,0.1,*
5/11/2018,5:45:00 AM,0,0.1,*
5/11/2018,6:00:00 AM,0,0.1,*
5/11/2018,6:15:00 AM,0,0.1,*
5/11/2018,6:30:00 AM,0,0.1,*
5/11/2018,6:45:00 AM,0,0.1,*
5/11/2018,7:00:00 AM,0,0.1,*
5/11/2018,7:15:00 AM,0,0.1,*
5/11/2018,7:30:00 AM,0,0.1,*
5/11/2018,7:45:00 AM,0,0.1,*
5/11/2018,8:00:00 AM,0,0.1,*
5/11/2018,8:15:00 AM,0,0.1,*
5/11/2018,8:30:00 AM,0,0.1,*
5/11/2018,8:45:00 AM,0,0.1,*
5/11/2018,9:00:00 AM,0,0.1,*
5/11/2018,9:15:00 AM,0,0.1,*
5/11/2018,9:30:00 AM,0,0.1,*
5/11/2018,9:45:00 AM,0,0.1,*
5/11/2018,10:00:00 AM,0,0.1,*
5/11/2018,10:15:00 AM,0,0.1,*
5/11/2018,10:30:00 AM,0,0.1,*
5/11/2018,10:45:00 AM,0,0.1,*
5/11/2018,11:00:00 AM,0,0.1,*
5/11/2018,11:15:00 AM,0,0.1,*
5/11/2018,11:30:00 AM,0,0.1,*
5/11/2018,11:45:00 AM,0,0.1,*
